preprocessed_text,label_sentiment
sudah registrasi ke sistem brimo lewat cs tapi waktu registrasi lewat brimo nya pas take video error terus sudah lebih dari,negatif
bagus,positif
tanpa ribet,netral
kenapa iya kbagus sekarang kartu fisik e atm bri simpedes sudah tidak ada lagi tolong dong yang belum kebagiann,netral
mantuulll,netral
baguss dan cepat,positif
lengkap dan mudah,positif
sip,netral
nan,netral
puas,positif
tiap kali mau di baharu selalu gagal akibat tidak bisa laku adu masalah lalu aplikasi brimo,negatif
bagus,positif
kenapa saya tidak terima kode verifikasi email padahal email yang saya masuk sesuai dengan email yang saya guna di apk mail,positif
rekening digital tapi sistem konvensional masih suruh ke kantor cabang ,netral
lebih mudah,positif
banget aplikasi,netral
bagus keep better bagus jo bri i feel everything get easier and easier salam,positif
kenapa saya tidak bisa laku bayar qris dengan metode bayar kartu kredit,positif
finally tidak pelu nomor tbagusn lagi ,negatif
baguss,netral
mantaplh,netral
biar simpel,netral
kenapa yah gabisa masuk jawabanya keblbagusir sudah coba dibenerin sesuai sama prosedur suruh lupa pasword lupa username tapi pesa linknya tidak masuk,positif
sangat bantu,netral
cepat dapat cs yang humble dan jelas dengan jelas dan jalan aplikasi cekat trampil cepat dan tepat hebat clara,positif
mantap,positif
kenapa sulit sekali daftar lewat aplikasi saya uninstall dan install kali kali untuk proses ,negatif
mantab,positif
sangat bantu sekali aplikasi dan sangat mudah cuma kalau bisa tambahin menu buat cetak koran versi digital dong min yang bisa di download buat evaluasi alur uang pribadi biar bisa lihat dari mana datang uang dan mana tu uang pergi main ma terima kasih,negatif
bagus,positif
cukup guna,positif
the best flawless fast smooth,positif
grate bri,netral
mantap kalau lagi waras asal tidak sering error saja,positif
nomero unoo,netral
simpel,netral
mantap,positif
semenjak update ios tidak bisa login face id login biasa lupa pass username tidak daftar sangat rugi sangat kecewa pakai aplikasi mobile banking bank yang kata canggih,negatif
mantap mudah di akses fiturnya,positif
lebih mudah pakai brizzi yang dulu karena bisa cek saldo dan aktivasi saldo brizzi tanpa login sekarang untuk guna fitur sebut waji login lebih dahulu,positif
aplikasi macam kntolllll susah banget login tolol,negatif
keren,positif
bagus,positif
mantap,positif
mantap,positif
mudah tidak ribet bantu sekali kalau misal lupa bawa kartu atm,positif
cepat,positif
mudah dalam transaksi cashless,positif
app payah tidak bisa tambah rek langsung freeze sudah ulang kali kali juga tidak bisa tambah rek arti tidak bisa pakai app tidak manfaat sama sekali,positif
wichecka,netral
maju terus bri,positif
baik bank bri,positif
bagus,positif
e kyc gagal melulu sudah kali kali nyoba tetep gabisa,negatif
moga bank sumsel babel bisa maju bri,positif
bagus,positif
sangat puas layan,positif
mantap,positif
matep,netral
memudahkn,netral
lumayan,positif
bagus mantap,positif
sangat bantu,netral
sangat bantu,netral
belum transaksi tiba tiba limit,netral
saya sudah tulis terdafatar di brimo tapi pas daftar bahkan tidak bisa,netral
waktu registrasi bagi rekam video selalu dapat response error signature invalid padahal sudah ikut semua tunjuk,negatif
lumayan,positif
untuk verifikasi selalu gagal kenapa mesti gagal sih kata mudah nasabah sedia vitur e kyc bahkan di tolak terus mana unistal instal terus lagi buat bisa login payah,negatif
akses gampang,netral
cepat mudah dan praktis,positif
mantaf,netral
baik terus,positif
the best apk,positif
sangat praktis,netral
mudah di guna ,positif
joss,netral
bagus bantu,positif
sangat bantu dalam transaksi,netral
nyataaa,netral
qwjah,netral
tolong tingkat,netral
top,positif
mantap,positif
dapat notifikasi bisa guna qr di brimo dan sekali bisa lihat cc bri di brimo pas cek di app tidak bisa info belum sedia,netral
bagus,positif
nan,netral
aplikasi tidak sedia menu adu untuk transaksi yang inisiasi oleh bank misal potong kali yang laku oleh bank hanya ada adu transaksi yang inisiasi oleh guna,positif
bebas admin sama bri,netral
tidak bisa aktif bripoin,netral
mantap,positif
mudah agar tidak bulak balik ke bank,positif
baik,positif
aplikasi untuk bayar banyak biar mau bayar listrik dan lain cuma lewat brimo,negatif
bagus dan simple bank app,positif
eror terus tolong tingkat lagi iya masa mau trf dan cek saldo doang harus ke atm,negatif
easy to do,positif
bagus ui and function,positif
bayar ceria di baik masih ngebugs tidak bisa bayar,positif
tolong hilang suara brimo ketika selesai transaksi,negatif
aplikasi yang sangat bantu butuh,netral
aplikasi bagus tapi mohon di cek pegawai cs nya ada beberapa kurang ramah dan kerja lambat,positif
layan lebih enak dan gampang mudah di akses mana saja,positif
tenks,netral
sangat bantu jika malas keluar,negatif
bestttttt,netral
mantap,positif
mudah semua transaksi,positif
bagus dan sangat mudah sekali,positif
aplikasi nya kadang suka aneh kita harus laku dua kali proses karena proses yang pertama pasti selalu gagal,netral
mantap,positif
yang baru bikin nyaman dan tarik,positif
sampai saat ini brimo keren,positif
kembang bri mobile makin baik dan inovatif,positif
nan,netral
sangat mudah dan cepat,positif
sangat kecewa fitur lupa pasword tidak bisa di guna kasi kami yang jarak jauh dari kota harus ke kota lagi buat buka blbagusir akun,negatif
bagus apps,positif
kemarin dapat error the data couldn t be read because it isn t in the correct format sekarang dapat error signature not valid pada saat proses rekam untuk verifikasi diri,negatif
mantappp sejahtera dan aman sentosa pakai brimo,positif
mantap,positif
sudah update tapi bayar qris guna kartu kredit masih belum juga bisa tah kenapa padahal bank besar,positif
apk goblbagus sistem sampah daftar coba tetap gabisa ajg duit banyak cuma buat apk kaya sampah gin jangan cuma pgn untung saja,negatif
pmbyrn jadi mudah,positif
semua jadi mudah pakai bri mau,positif
kenapa ribet banget di proses rekam video coba diskusi dengan privyid buat upgrade ai verifikasi via rekam video,netral
mantap,positif
tidak punya uang,netral
simpel dan mudah utama yang sering gilang kartu atm ,positif
easy to use,positif
bagus,positif
sangat bantu dalam transaksi,netral
error pas ambil video asa bumn budget gede buat bikin aplikasi masa kalah sama pinjol malu bosss,negatif
layan cepat dan mantap,positif
mudah dalam transaksi,positif
top,positif
transaksi lebih cepat,positif
gatau ngerasa design yang lama lebih simpe dan minimal saja,negatif
bagus,positif
tidak ribet cocbagus buat generasi mager,netral
saya mau bayar via briva di brimo tapi selalu gagal proses dengan notif error ios dan koneksi internet baik,negatif
bisa trasfer dengan biaya yang murah,netral
tambahin filtur topup untuk m tix yang buat saku itu mau beli tiket online jadi susahh semogaa cept ditambahin,netral
comportable app,netral
tolong diupdate applikasi bya untuk bisa update saldo tanpa harus login untuk kartu uang elektronik brizzi e money mandiri dan flazz bca saja sudah,netral
bagus,positif
baik,positif
bagus,positif
bagus keren,positif
banget,netral
aplikasi nya bagus lama ini lancar lancar saja moga bisa makin baik dan bagus,positif
transaksi lancar urus jadi mudah ,positif
mantap kali,positif
tari ribu tidak ada jadi saya kasih bintang saja,netral
sangat baik,positif
joss,netral
tingkat lagi,netral
praktis mudah guna,positif
top up tidak ada admin deh mantap,positif
mantap lah,positif
saya sulit untuk daftar karena gagal di bagi video,negatif
makin mudah,positif
tetap seperti ini,positif
saat ambil video untuk buat akun terang selalu error tolong segera baik,positif
nan,netral
mudah cepat,positif
bagus,positif
sangat cepat,positif
agak mudah kan,positif
sip hanya untuk catat kurang banyak,negatif
bagus apps,positif
tolong dong kak jaga baik aplikasi ini soal saya kena tipu atas nama pihak dari bri dan di suruh mingirim kode otp tolih di ketat lagi jaga kak,negatif
transaksi cepat kereeen,positif
terbaikk jadi gampang kalau mau tf atau bayar sukaaa gampang aman the besttt deh,positif
fitur bagus dan lengkap,positif
simple cepat,positif
belum ketemu masalah sih gatau kalau deh lama,negatif
praktis,netral
tidak bisa bikin akun pas rekam video bilang nya format tidak baca kan goblbagus ehhhh,netral
mudah segala urus bayar dan bisnis,positif
sangat baik,positif
gxtx,netral
kenapa saya saat akan registrasi dengan ambil video tidak bisa dapat tulis signature not valid padahal saya sudah ikut arah dari aplikasi mohon bantu,negatif
mudah guna tingkat terus aplikasi iya,positif
kenapa saya verifikasi wajah gagal terus padahal sudah isi,negatif
mohon transaksi qris notif transaksi masuk jangan tunggu baru ada notif nya,positif
moga inovasi lebih baik lagi,positif
bisa cek dan update saldo brizzi tanpa mesti buka akun bri skarang jadi tidak bisa cek dan update saldo brizzi arah buka akun bri habis ini fix buang kartu brizzi,negatif
sangat bantu mudah traksaksi,positif
saya ingin laku bayar tetapi tidak bisa lalu akun ceria selalu saja terang ganggu sampaj saya di telepon operator karena lambat bayar sedang sudah autodebet tapi kenapa belum juga potong lalu harus bagaimana cara saya bayar cicil ceria dan tahu nomor briva ceria susah sekali padahal saya tidak ingin ada lambat dalam bayar baik cepat ceria nya,positif
mntap,netral
jdjbbd,netral
sangat baik,positif
banyak tahap dan selalu ganggu jadi tidak hasil terus untuk buat akun,negatif
brimo simple dan cepat untuk transaksi bagi semua,positif
iya bagus,positif
layan yang sangat bagus,positif
kenapa pada saat verifikasi rekam selalu gagal iya,negatif
bagus,positif
kenapa ganggu terus hp nyaaaaaaa,negatif
mohon tambah fitur download mutasi bulan,positif
well its really easy to use,positif
bagus nuhuun,positif
bagus,positif
sudah ulang kali coba tetap tidak bisa tolong di bantu,netral
sangat bantu,netral
susah banget mau login doang,negatif
brimo update tiap tahun,netral
sukaaaaa,netral
run well,positif
bagus,positif
sangat bantu dan efektif,netral
aplikasi bank bri kbagus tidak jelas banget telah dapat kode dari sms terus bagaimana tahap lanjut nya apakah harus ke bank dulu apa bagaimana ribet banget sih,positif
kenapa sudah selesai input data lanjut verifikasi tapi selalu loading stack di tidak lagi,netral
nan,netral
akun brimo saya keblbagusir lalu saya coba lupa password dan hasil ganti password baru pas login password dan user salah sudah tetap saja begitu selalu,negatif
mantap,positif
sangat mmbantu trimakasih,netral
mantap,positif
mantap,positif
bagus,positif
brimo keren sekarang sudah bisa semua transaksi,positif
tidak bisa akses bri guna maupun ceria di ios,positif
capat,netral
excellent,positif
mantap,positif
the logins mechanism is to complicated and also the log out i hope it will be more simple in the future,positif
bagus banget aplikasi sangat bantu,positif
sangat bantu dengan ada aplikasi brimo saat ini tidak perlu ribet lagi ke bank,netral
guna brimo mudah transaksi bank,positif
sangat bantu dalam transaksi uang hemat waktu tenaga biaya ruang gerak dan semua mudah hanya dalam genggam,positif
alhamdulillah urus jadi mudah karena ada bri,positif
bagusee,netral
baik sekali layan,positif
mantap,positif
ulas,netral
usefull,netral
bagus,positif
banyak bantu,netral
sangat bantu,netral
cepat dan tepat,positif
bagus saja dulu,positif
apa apa ini laku untuk bri junio,positif
manta kalee,netral
masih bagus,positif
aplikasi jozzz,netral
pada saat guna pertama saya keliru masuk password recovery data cepat sinkronisasi email dan sms dengan aplikasi jadi data lebih aman moga lebih baik lagi depan,positif
mudah guna,positif
maaf kak in kenapa ya saya atur tanggal lahir dn tanggal lahir nya tnggl tapi tidak bisa dia selalu ke tnggl terus tolong bantu begitu bulan dan tahun susah di atur,negatif
mantap,positif
transaksi cepat aman,positif
mantappp,netral
mudah transaksi ,positif
tidak bisa login taek ada potong saya tidak kasih tahu saya mau pindah bca saja lah ajig,negatif
luar biasa,negatif
mantap,positif
untuk saran alamgkah baik kalau ada pilih print mutasi by pdf biar lbh gampang bagi kita yang punya usaha untuk lihat rincian transaksi,positif
baik sekali,positif
bagus,positif
pandang sungai mahakam ada kapal tongkang batu bara lewat sini,negatif
recommend,positif
bagus,positif
kenapa kode otp yang gagal kadaluarsa tidak dapat dimasukin kembali,negatif
guna baru dan masih saja lancar jaya tingkat lagi dan tahan yang sudah baik,positif
kak kenapa pas saya masuk rekam kakak tidk bisa kirim tapi ada tulis error signature not valid itu kenapaya,negatif
tampil bagus mudah transfer ke dompet digital gratis terimakasih brimo,positif
user interface yang sekarang mudah paham aplikasi ringan tidak banyak fitur yang tidak perlu nyaman,positif
aplikasi klas bri kbagus busuk wong tidak ada yang salah log in kbagus diblbagusir,negatif
yoogbsbdndnsn,netral
easy to use,positif
bagus,positif
bismillah undi dapat mobil,netral
dalam operasional transaksi seperti bayar cicil dengan transfer bayar tbagusn listrik dan lain lebih mudah dn cepat,positif
terima kasih bri,netral
mantap,positif
hampir semua sudah bagus namun untuk isi menu riwayat transaksi tidak langsung terupdate telah laku transaksi sehingga untuk lihat kembali pada list riwayat transaksi harus tunggu lama dan kadang suka list transaksi mohon ditindaklanjuti terima kasih,positif
bagus,positif
trimaksih,netral
apk brimo the best mau bayar apa bisa pakai apk ini,positif
kbagus nggk bisa yah selalu ada tulis e kyc nyata gagal silah ulang registrasi padahal sudah ulang ulang kali,negatif
mudah di guna,positif
bagus transaksi sangat mudah,positif
lebih gampang,netral
mantap,positif
moga bri tingkat security dan beri ilmu agar tidak banyak nasabah yang tipu,negatif
tidak bisa daftar mau cek status rekening di call center saja tidak bisa guna call center apa tahun lalu call center tidak bisa cek status rekening tapi kalau sudah pasti sudah tidak aktif eh pas ke kantor cabang nyata aktif tapi cabang kecil juga tidak bisa mau minta kartu atm tidak bisa juga cuma bisa cek status rekening sama cek saldo hri ini telah lebih dari tahun telepon call center info masih sama tidak ada baik dari sisi layan mana lain sudah digital tanpa harus ke cabang sudah bisa cek status rekening dan request lain ini bri masih kolot,negatif
transaction went well,positif
transksi cepat puas saya,positif
tidak puas dengan layan,positif
suka banget dengan process ini,positif
saat sedang laku registrasi brimo tetapi selalu gagal di rekam video detik padahal sudah ikut atur rekam yang minta koneksi internet stabil video terang dengan latar polos suara kencang saat ucap yang minta device dengan ios dan apps brimo versi baru di tetapi selalu gagal dengan tulis error signature not valid,negatif
gabisa daftar gagal melulu,negatif
bagus,positif
baik,positif
keren,positif
sangat bantu namun perlu tingkat dari segi aman,positif
semenjak ada brimo semua jadi mudah dalam transaksi,positif
