preprocessed_text,label_sentiment_number
bagusee,1
baik sekali layan,2
mantap,2
ulas,1
usefull,1
bagus,2
banyak bantu,1
sangat bantu,1
cepat dan tepat,2
bagus saja dulu,2
apa apa ini laku untuk bri junio,2
manta kalee,1
masih bagus,2
aplikasi jozzz,1
pada saat guna pertama saya keliru masuk password recovery data cepat sinkronisasi email dan sms dengan aplikasi jadi data lebih aman moga lebih baik lagi depan,2
mudah guna,2
maaf kak in kenapa ya saya atur tanggal lahir dn tanggal lahir nya tnggl tapi tidak bisa dia selalu ke tnggl terus tolong bantu begitu bulan dan tahun susah di atur,0
mantap,2
transaksi cepat aman,2
mantappp,1
mudah transaksi ,2
tidak bisa login taek ada potong saya tidak kasih tahu saya mau pindah bca saja lah ajig,0
luar biasa,0
mantap,2
untuk saran alamgkah baik kalau ada pilih print mutasi by pdf biar lbh gampang bagi kita yang punya usaha untuk lihat rincian transaksi,2
baik sekali,2
bagus,2
pandang sungai mahakam ada kapal tongkang batu bara lewat sini,0
recommend,2
bagus,2
kenapa kode otp yang gagal kadaluarsa tidak dapat dimasukin kembali,0
guna baru dan masih saja lancar jaya tingkat lagi dan tahan yang sudah baik,2
kak kenapa pas saya masuk rekam kakak tidk bisa kirim tapi ada tulis error signature not valid itu kenapaya,0
tampil bagus mudah transfer ke dompet digital gratis terimakasih brimo,2
user interface yang sekarang mudah paham aplikasi ringan tidak banyak fitur yang tidak perlu nyaman,2
aplikasi klas bri kbagus busuk wong tidak ada yang salah log in kbagus diblbagusir,0
yoogbsbdndnsn,1
easy to use,2
bagus,2
bismillah undi dapat mobil,1
dalam operasional transaksi seperti bayar cicil dengan transfer bayar tbagusn listrik dan lain lebih mudah dn cepat,2
terima kasih bri,1
mantap,2
hampir semua sudah bagus namun untuk isi menu riwayat transaksi tidak langsung terupdate telah laku transaksi sehingga untuk lihat kembali pada list riwayat transaksi harus tunggu lama dan kadang suka list transaksi mohon ditindaklanjuti terima kasih,2
bagus,2
trimaksih,1
apk brimo the best mau bayar apa bisa pakai apk ini,2
kbagus nggk bisa yah selalu ada tulis e kyc nyata gagal silah ulang registrasi padahal sudah ulang ulang kali,0
mudah di guna,2
bagus transaksi sangat mudah,2
lebih gampang,1
mantap,2
moga bri tingkat security dan beri ilmu agar tidak banyak nasabah yang tipu,0
tidak bisa daftar mau cek status rekening di call center saja tidak bisa guna call center apa tahun lalu call center tidak bisa cek status rekening tapi kalau sudah pasti sudah tidak aktif eh pas ke kantor cabang nyata aktif tapi cabang kecil juga tidak bisa mau minta kartu atm tidak bisa juga cuma bisa cek status rekening sama cek saldo hri ini telah lebih dari tahun telepon call center info masih sama tidak ada baik dari sisi layan mana lain sudah digital tanpa harus ke cabang sudah bisa cek status rekening dan request lain ini bri masih kolot,0
transaction went well,2
transksi cepat puas saya,2
tidak puas dengan layan,2
suka banget dengan process ini,2
saat sedang laku registrasi brimo tetapi selalu gagal di rekam video detik padahal sudah ikut atur rekam yang minta koneksi internet stabil video terang dengan latar polos suara kencang saat ucap yang minta device dengan ios dan apps brimo versi baru di tetapi selalu gagal dengan tulis error signature not valid,0
gabisa daftar gagal melulu,0
bagus,2
baik,2
keren,2
sangat bantu namun perlu tingkat dari segi aman,2
semenjak ada brimo semua jadi mudah dalam transaksi,2
